optt_nbtm_s,target,0
0.2225,2,2
3.2143,1,2
3.2022,1,2
0.2222,1,2
3.1742,1,2
0.38,2,2
0.2176,2,2
0.3609,1,2
0.3626,1,2
0.3636,1,2
0.3638,1,2
5.6,1,2
0.324,1,2
0.319,2,2
0.2417,1,2
0.2511,1,2
0.3116,1,2
0.3108,1,2
0.2603,2,2
3.35,1,2
3.3904,1,2
0.2939,1,2
0.29,1,2
0.2876,1,2
25.5,1,2
0.287,2,2
0.2844,1,2
0.2783,1,2
0.2841,1,2
5.6178,1,2
0.3882,2,2
0.4593,1,2
0.2812,1,2
0.2123,2,2
0.4308,1,2
0.4309,1,2
2.9818,1,2
0.4357,1,2
2.9716,1,2
0.2117,2,2
5.6667,1,2
5.8381,1,2
2.9453,1,2
0.4517,2,2
0.456,1,2
2.9361,1,2
0.4585,1,2
2.9902,1,2
5.8,1,2
2.997,1,2
0.425,1,2
0.2155,1,2
1.4538,1,2
0.4197,1,2
3.0273,1,2
3.0301,1,2
0.4111,1,2
0.2173,1,2
3.0475,1,2
0.4065,1,2
21.5,1,2
6.4889,1,2
0.3943,1,2
0.3899,1,2
1.3673,1,2
15.0724,1,2
0.6305,1,2
1.8232,1,2
1.8128,1,2
1.1108,1,2
12.0,2,2
1.1241,1,2
1.1263,1,2
1.1311,1,2
1.7617,1,2
8.6245,1,2
1.1425,1,2
1.7499,1,2
1.1496,1,2
1.1514,1,2
11.6,1,2
1.7243,1,2
1.7217,1,2
1.1751,1,2
1.1754,1,2
8.453,1,2
12.1168,1,2
1.0405,1,2
1.0958,1,2
12.613,1,2
8.1508,1,2
1.9237,1,2
1.0581,1,2
1.9091,1,2
12.3819,1,2
1.071,1,2
1.0736,1,2
12.3333,1,2
8.2887,1,2
1.0797,1,2
1.0803,1,2
1.0824,1,2
1.0835,1,2
12.25,1,2
1.0861,1,2
1.0909,1,2
1.1808,1,2
1.7049,1,2
1.6979,1,2
1.1891,1,2
1.2815,1,2
1.2857,1,2
1.2946,1,2
10.5714,1,2
1.2997,1,2
1.3031,1,2
1.3144,1,2
1.3185,1,2
9.3704,1,2
9.4229,1,2
1.3405,1,2
1.3458,1,2
10.25,1,2
1.5198,1,2
1.5178,1,2
1.3592,1,2
1.3630000000000002,1,2
1.5945,1,2
9.2064,1,2
1.6,1,2
1.227,1,2
1.1944,1,2
1.6837,1,2
1.1991,1,2
1.2,1,2
11.2,1,2
11.1183,1,2
1.2258,1,2
1.3787,1,2
10.7166,1,2
1.6408,1,2
1.2424,1,2
1.6351,1,2
1.6345,1,2
1.2504,1,2
1.2533,1,2
1.2578,1,2
1.9361,1,2
1.942,2,2
6.5638,1,2
0.75,2,2
0.1691,1,2
7.0157,1,2
2.3921,1,2
2.3882,1,2
2.3858,1,2
1.4721,1,2
2.3845,1,2
0.7693,1,2
0.7696,1,2
0.7852,1,2
14.6667,1,2
7.2118,1,2
0.8,1,2
0.8059,1,2
2.285,1,2
0.8067,1,2
14.5,1,2
1.4693,1,2
2.411,1,2
8.0802,1,2
10.1358,1,2
0.6372,1,2
0.6542,1,2
2.5485,1,2
0.6658,1,2
0.6703,1,2
2.5227,1,2
0.6829999999999999,1,2
0.6992,1,2
6.7998,1,2
2.4604,1,2
2.4478,1,2
15.3333,1,2
0.7218,1,2
6.8931,1,2
0.7261,1,2
6.9109,1,2
0.741,1,2
7.2704,1,2
0.8113,1,2
0.8154,1,2
0.8158,1,2
7.8,1,2
0.9762,1,2
0.9848,1,2
2.0215,1,2
7.9053,1,2
2.0016,1,2
1.476,1,2
1.484,1,2
12.8333,1,2
1.0136,1,2
1.3869,1,2
8.0,2,2
1.0183,1,2
8.0561,1,2
8.0584,1,2
1.9546,1,2
1.0362,1,2
2.0769,1,2
0.9537,1,2
0.944,1,2
2.2,1,2
0.8288,1,2
0.8452,1,2
0.8475,1,2
0.856,2,2
0.8571,1,2
2.2115,1,2
7.3992,1,2
0.8771,1,2
0.9401,1,2
0.8966,1,2
0.9005,2,2
0.9081,1,2
0.9148,1,2
0.915,1,2
0.9325,1,2
7.7087,1,2
4.9061,1,2
2.5851,1,2
4.7,1,2
4.7677,1,2
37.0,1,2
4.4113,1,2
0.0381,1,2
0.0541,1,2
0.0039,1,2
0.0038,1,2
0.0533,2,2
0.0867,1,2
0.0801,1,2
0.0628,1,2
32.0,1,2
0.0515,1,2
0.1409,1,2
0.118,1,2
0.112,2,2
0.0696,1,2
0.077,1,2
0.0296,1,2
0.107,1,2
3.7702,1,2
0.1316,1,2
4.5036,1,2
0.0073,2,2
4.7447,1,2
4.1442,1,2
0.0743,1,2
4.1477,1,2
0.1568,1,2
4.1557,1,2
0.1353,2,2
0.0722,1,2
40.0,1,2
0.062,1,2
4.043,1,2
0.1025,1,2
0.0836,1,2
0.0014,1,2
33.4873,1,2
38.0,1,2
4.7041,1,2
3.8572,1,2
3.8,1,2
0.16699999999999998,1,2
2.0743,1,1
4.0709,1,1
4.072,2,1
2.0841,1,1
1.992,1,1
2.0,0,1
1.9967,1,1
4.0699,1,1
2.0852,1,1
1.9914,1,1
2.0866,1,1
2.0002,1,1
2.0017,1,1
4.0619,1,1
2.0014,1,1
4.0606,1,1
1.991,1,1
2.0019,1,1
2.0026,1,1
2.0061,1,1
2.0062,2,1
2.0071,1,1
2.0825,1,1
2.0075,1,1
2.0083,1,1
2.0106,1,1
2.0136,1,1
2.0877,1,1
2.0905,1,1
4.0746,1,1
1.9908,1,1
2.0924,1,1
4.0781,1,1
1.9763,1,1
2.0923,1,1
1.9773,1,1
4.078,1,1
4.0776,1,1
1.9777,1,1
1.9781,1,1
1.9791,1,1
1.9799,1,1
1.9809,1,1
1.9811,1,1
1.9821,1,1
4.0771,1,1
1.9838,1,1
1.9847,1,1
1.9857,2,1
1.9871,1,1
4.0453,1,1
2.0914,2,1
1.9873,1,1
2.0908,1,1
1.9875,1,1
1.9889,2,1
1.9901,1,1
2.0895,1,1
2.0152,1,1
2.0191,1,1
2.0159,1,1
2.0466,1,1
2.0477,1,1
2.048,1,1
4.0499,1,1
4.0481,1,1
2.0522,1,1
2.0539,1,1
2.0542,1,1
2.0543,1,1
2.0759,2,1
2.055,1,1
2.0759,1,1
2.0566,1,1
2.0588,1,1
2.0597,1,1
2.061,1,1
2.0627,1,1
2.064,2,1
2.0641,1,1
2.0644,1,1
2.066,1,1
2.067,1,1
2.0756,1,1
4.0471,1,1
2.068,1,1
2.0702,1,1
2.0705,1,1
2.072,1,1
2.0723,1,1
2.0742,1,1
2.0468,1,1
2.0465,1,1
2.0744,2,1
2.0434,1,1
4.0585,1,1
4.0506,1,1
2.023,1,1
2.0235,1,1
2.0239,1,1
2.0245,1,1
2.0822,1,1
2.0808,1,1
2.0797,1,1
2.0248,1,1
2.0787,1,1
2.0254,1,1
2.0255,1,1
2.0266,1,1
4.0502,1,1
2.0278,1,1
1.9734,2,1
2.0773,1,1
2.0296,1,1
2.0335,1,1
2.0337,2,1
4.0464,1,1
2.0349,1,1
2.0356,1,1
2.0376,1,1
2.039,1,1
2.0763,1,1
2.0396,1,1
2.0397,1,1
1.9746,1,1
1.9594,1,1
1.9709,1,1
1.8966,1,1
1.9035,1,1
1.9033,1,1
1.9024,1,1
1.9005,1,1
1.8988,1,1
1.8984,1,1
1.8952,1,1
1.8896,1,1
1.8931,1,1
4.1076,1,1
4.1081,1,1
1.8927,1,1
1.892,1,1
4.1085,1,1
1.9042,1,1
1.9042,2,1
1.9057,1,1
1.9071,1,1
1.9073,2,1
1.9077,1,1
1.9084,2,1
1.9085,1,1
1.9088,1,1
4.1037,2,1
1.9093,2,1
1.9107,1,1
1.9119,1,1
1.9121,1,1
1.9123,2,1
1.914,1,1
4.1034,1,1
1.8905,1,1
1.888,2,1
1.9148,1,1
1.8695,1,1
4.1128,1,1
1.8745,1,1
1.8724,1,1
1.8719,1,1
4.1131,1,1
1.8705,1,1
1.8691,2,1
1.8871,1,1
1.8673,1,1
4.1133,1,1
1.8658,1,1
4.1171,1,1
1.8657,2,1
1.865,2,1
1.8749,1,1
4.1122,1,1
1.8752,2,1
4.1106,1,1
4.1095,1,1
1.8757,1,1
1.8759,1,1
1.8761,1,1
1.8765,1,1
1.8766,1,1
1.8773,1,1
1.8791,1,1
1.8802,2,1
4.109,1,1
1.8835,1,1
1.8839,1,1
1.8843,1,1
1.9141,1,1
1.915,1,1
1.9704,1,1
1.954,1,1
1.9565,1,1
4.0896,1,1
1.9559,1,1
1.9555,1,1
4.092,1,1
4.0939,1,1
1.9513,2,1
1.9434,1,1
4.0955,1,1
1.9492,1,1
1.9491,1,1
1.9481,1,1
1.9471,1,1
1.9462,1,1
4.0806,1,1
1.9568,1,1
1.9574,1,1
1.9574,2,1
1.9586,1,1
1.9587,1,1
2.0954,1,1
1.9598,1,1
1.96,1,1
1.9613,1,1
1.9626,1,1
1.9633,1,1
1.9634,1,1
1.9638,1,1
1.9659,1,1
1.9689,1,1
1.9689,2,1
1.9452,1,1
4.0972,1,1
1.9156,1,1
1.9252,1,1
1.9298,1,1
4.1017,2,1
1.9283,1,1
1.9271,1,1
1.927,1,1
1.9253,1,1
1.9221,1,1
4.0978,1,1
1.9206,1,1
1.9199,1,1
1.9191,1,1
1.9182,1,1
1.9166,1,1
1.916,1,1
1.9313,1,1
1.9316,1,1
1.9322,1,1
1.9326,1,1
4.0998,1,1
1.9329,1,1
1.933,2,1
1.9333,1,1
1.9334,1,1
1.9336,2,1
1.9343,1,1
1.9351,1,1
4.0979,1,1
1.9374,1,1
1.9384,1,1
1.9391,1,1
1.9416,1,1
2.0928,2,1
2.1082,1,1
2.096,1,1
2.2935,1,1
2.2786,1,1
2.2783,1,1
4.0126,1,1
2.2735,1,1
2.2708,1,1
2.2699,1,1
2.2695,1,1
2.2672,1,1
2.2667,1,1
2.2664,1,1
2.2663,1,1
4.0127,1,1
2.2654,1,1
2.2639,1,1
2.2616,1,1
2.2803,1,1
4.0105,1,1
2.2804,1,1
4.0063,1,1
2.2892,2,1
2.2892,1,1
2.2868,2,1
2.2867,1,1
2.2852,1,1
4.0056,1,1
4.0064,1,1
2.2808,1,1
2.2847,1,1
4.0095,2,1
2.2845,1,1
2.2832,1,1
2.2826,1,1
2.2811,1,1
2.261,1,1
2.2585,1,1
2.254,1,1
2.2323,1,1
2.2384,1,1
2.2369,2,1
2.2369,1,1
2.2354,1,1
2.2345,1,1
2.2335,1,1
2.2309,1,1
2.2394,1,1
2.2303,1,1
2.2281,1,1
2.228,1,1
2.2236,1,1
2.2222,1,1
4.0175,1,1
4.0166,1,1
2.2395,1,1
2.2537,1,1
2.2496,2,1
2.2534,1,1
2.2532,1,1
2.2512,1,1
2.25,2,1
4.0153,2,1
4.0162,1,1
2.2494,1,1
2.2409,1,1
2.2487,1,1
2.2483,1,1
2.2426,1,1
2.2423,1,1
2.2416,1,1
2.2414,1,1
2.2929,1,1
2.2936,1,1
2.0971,1,1
2.2955,1,1
2.3544,1,1
2.3536,1,1
2.3524,1,1
2.349,1,1
2.3485,1,1
2.347,1,1
2.3461,1,1
2.3456,1,1
2.3455,1,1
2.3454,1,1
2.344,1,1
2.3439,1,1
2.3434,1,1
2.342,1,1
2.3413,1,1
2.3577,1,1
2.3587,1,1
2.3599,1,1
2.3728,2,1
2.3859,1,1
3.9948,1,1
4.0008,0,1
2.3839,1,1
2.3787,1,1
2.375,1,1
2.3705,1,1
2.3618,1,1
2.369,2,1
2.3662,1,1
2.366,2,1
4.0009,1,1
4.0034,1,1
2.3631,1,1
2.3377,1,1
2.3376,1,1
2.3348,1,1
2.3027,1,1
2.3172,1,1
2.3162,1,1
2.3129,1,1
2.3128,1,1
2.3067,1,1
2.3033,1,1
2.3019,1,1
2.3173,1,1
2.3011,1,1
2.2996,1,1
2.2991,1,1
4.0054,1,1
2.2976,1,1
2.2973,1,1
4.0051,1,1
2.3192,1,1
2.3332,1,1
2.3271,1,1
2.333,1,1
2.3318,1,1
2.3317,1,1
2.3315,1,1
2.3311,1,1
2.3288,2,1
2.3242,1,1
2.3196,2,1
4.0044,1,1
2.3233,1,1
2.3226,1,1
2.3212,1,1
2.3201,1,1
2.3198,1,1
2.2219,1,1
2.2205,1,1
2.2193,2,1
4.0181,1,1
2.1407,1,1
2.14,1,1
2.1385,1,1
2.1377,1,1
2.1376,1,1
2.1375,1,1
2.1348,1,1
2.1344,1,1
2.1342,1,1
2.1337,1,1
2.1333,1,1
2.1305,1,1
2.1302,2,1
2.1298,1,1
2.1274,1,1
2.1409,1,1
2.1429,1,1
4.0348,1,1
2.1496,1,1
2.157,2,1
2.1566,1,1
2.1558,1,1
2.1544,1,1
2.1539,1,1
2.151,1,1
2.1478,1,1
4.0335,1,1
2.1476,1,1
4.0328,1,1
2.1465,1,1
2.146,1,1
2.1449,1,1
2.1431,1,1
2.1255,1,1
2.1245,2,1
2.1241,1,1
1.862,1,1
2.1111,1,1
4.0382,2,1
2.1104,1,1
4.0396,1,1
2.1095,1,1
2.1092,1,1
2.1064,1,1
2.1118,1,1
2.1062,1,1
2.1061,1,1
2.1027,1,1
2.1024,1,1
2.0998,1,1
2.0973,1,1
2.1115,1,1
2.112,1,1
4.0363,1,1
4.0368,1,1
2.1238,1,1
2.1226,1,1
2.1218,1,1
4.0366,1,1
2.1205,1,1
2.1193,1,1
2.1188,2,1
2.1133,1,1
2.1185,1,1
2.1174,1,1
2.1171,1,1
2.1166,1,1
2.1157,1,1
2.1141,1,1
2.1575,1,1
4.0318,1,1
2.1576,1,1
2.2,2,1
2.2036,1,1
2.2031,2,1
2.202,1,1
2.2016,2,1
2.2016,1,1
2.2014,1,1
4.024,1,1
2.2041,1,1
2.1982,2,1
2.1976,1,1
2.196,1,1
2.1956,1,1
2.1939,1,1
2.1936,1,1
4.0199,2,1
2.2058,1,1
2.1934,1,1
2.2134,1,1
2.2184,1,1
2.2176,1,1
2.2171,1,1
2.2164,1,1
2.216,1,1
2.2158,1,1
2.2131,1,1
2.206,1,1
2.2124,1,1
4.0196,1,1
2.2109,1,1
2.2101,1,1
2.2093,1,1
2.2064,1,1
4.0272,1,1
2.1931,1,1
2.1587,1,1
2.1604,1,1
2.1685,1,1
2.1667,1,1
2.1648,1,1
2.1643,1,1
2.1638,1,1
2.162,1,1
2.1603,1,1
2.1763,1,1
2.1602,1,1
2.1601,1,1
4.03,1,1
2.1597,1,1
2.1595,1,1
2.1593,1,1
2.1694,1,1
2.1765,1,1
2.1924,1,1
2.185,1,1
2.1901,1,1
2.188,1,1
2.1878,1,1
2.1876,1,1
2.1868,1,1
2.1853,1,1
2.1845,1,1
4.0296,2,1
2.1836,1,1
2.1833,1,1
2.182,1,1
2.1818,1,1
2.1815,1,1
2.1811,1,1
1.864,1,1
3.7202,1,1
1.8601,2,1
4.208,1,1
1.5733,2,1
1.5733,1,1
1.5719999999999998,1,1
1.5714,1,1
1.5706,1,1
1.5695,1,1
1.5692,1,1
4.2394,1,1
1.5677,1,1
1.5675,1,1
1.5667,1,1
1.5654,2,1
1.5653,1,1
1.5648,1,1
4.2426,2,1
1.5742,1,1
1.5747,1,1
4.2388,2,1
4.2360000000000015,1,1
1.5849,1,1
1.5835,1,1
1.5830000000000002,2,1
1.5827,1,1
1.5822,1,1
1.5807,2,1
1.58,0,1
1.5751,1,1
1.5794,2,1
1.5793,1,1
4.2377,1,1
4.2384,1,1
1.5789,1,1
1.5773,1,1
1.564,2,1
1.5632,1,1
1.5619,1,1
1.5398,2,1
1.5469,1,1
1.5453,1,1
1.5428,1,1
1.5425,1,1
1.5416,1,1
1.541,1,1
1.5396,1,1
1.5502,1,1
1.5382,1,1
1.538,1,1
1.5364,1,1
1.5358,1,1
4.248,1,1
1.5357,1,1
1.5492,1,1
1.5503,1,1
1.5611,1,1
1.5571,1,1
1.5605,2,1
4.2428,1,1
1.5605,1,1
1.5591,1,1
1.5574,2,1
1.5574,1,1
1.5556,1,1
1.5521,2,1
4.2428,2,1
1.5551,2,1
1.5542,1,1
1.5529,1,1
4.2438,1,1
1.5524,1,1
1.5856,1,1
1.5869,1,1
1.587,2,1
1.6223,1,1
1.625,1,1
1.6241,2,1
1.6236,1,1
1.6229,2,1
1.6227,1,1
4.2213,2,1
4.2236,1,1
1.6257,1,1
1.621,1,1
1.6191,1,1
1.6188,1,1
1.6184,1,1
1.6182,2,1
1.6182,1,1
1.6253,1,1
1.6266,1,1
1.6169,1,1
1.6325,2,1
1.6337,1,1
1.6335,1,1
1.6328,1,1
4.2146,1,1
4.2152,1,1
4.2187,1,1
1.6322,1,1
1.6288,1,1
1.6315,1,1
1.6304,1,1
1.6301,1,1
1.6297,1,1
4.2204,1,1
1.6291,1,1
1.6172,1,1
1.6161,1,1
4.2354,1,1
1.5942,1,1
1.5976,1,1
1.5972,1,1
4.227,1,1
1.5962,1,1
4.2291,1,1
4.2319,1,1
1.592,1,1
4.226,1,1
1.591,2,1
1.5907,1,1
1.5893,1,1
4.2326,1,1
1.5888,1,1
1.5878,1,1
1.5993,2,1
1.6003,1,1
1.6158,1,1
1.6029,1,1
1.6156,1,1
1.6136,1,1
1.6122,1,1
1.6091,1,1
1.6054,1,1
1.6034,1,1
1.6028,2,1
1.6008,2,1
1.6025,1,1
1.6019,1,1
1.6017,1,1
1.6013,1,1
1.6012,1,1
4.2239,1,1
1.5355,2,1
1.5348,1,1
1.5341,1,1
1.4691,1,1
4.2712,1,1
1.472,1,1
1.4716,2,1
1.4702,1,1
1.4696,1,1
4.272,1,1
1.4689,1,1
4.2708,1,1
1.4686,1,1
1.4676,1,1
1.4669,1,1
1.4665,1,1
1.4664,2,1
1.4663,1,1
1.4728,1,1
1.4729,2,1
1.4652,1,1
1.4826,2,1
4.2656,1,1
1.486,1,1
1.4852,2,1
1.4846,1,1
1.4842,1,1
4.2673,1,1
1.4805,1,1
1.4733,1,1
1.4796,2,1
1.4776,1,1
1.4769,1,1
4.2694,1,1
1.4749,1,1
1.4741,1,1
1.4653,1,1
1.4651,2,1
1.4875,1,1
1.4480000000000002,1,1
1.4521,1,1
1.4507,1,1
1.4491,1,1
4.2758,1,1
1.4485,1,1
1.4482,1,1
1.4472,2,1
1.4548,2,1
1.4466,1,1
1.4464,2,1
1.4452,1,1
1.4417,1,1
1.4414,1,1
1.4409999999999998,1,1
4.2737,1,1
1.4565,1,1
1.4645,1,1
1.4603,1,1
1.4635,1,1
1.4633,2,1
1.4627,1,1
1.4624,1,1
1.462,1,1
1.4614,1,1
1.4602,1,1
1.4566,1,1
1.46,1,1
1.4587,2,1
1.4586,2,1
1.4586,1,1
1.4573,1,1
1.457,1,1
1.4867,1,1
1.4877,1,1
4.2486,1,1
1.5219,1,1
1.5233,2,1
4.2509,1,1
1.5233,1,1
4.2521,1,1
1.5228,1,1
1.5225,1,1
1.5204,1,1
1.5268,1,1
4.2532,1,1
1.5192,1,1
1.5191,1,1
1.5184,1,1
1.5181,1,1
4.2534,1,1
1.5237,1,1
1.527,2,1
1.5172,1,1
1.5308,1,1
1.5335,2,1
1.5321,0,1
1.5317,1,1
1.5316,1,1
1.5315,1,1
1.5312,1,1
1.5295,1,1
1.5276,1,1
1.5294,2,1
1.5293,1,1
1.5285,1,1
4.2501,1,1
1.5284,1,1
1.5281,1,1
4.2541,1,1
1.5126,1,1
1.4884,1,1
1.4919,1,1
1.5,0,1
1.4986,1,1
1.4984,1,1
1.4962,1,1
1.4952,1,1
1.4928,1,1
1.4899,1,1
1.5,2,1
1.4898,1,1
1.4893,1,1
4.2643,1,1
1.489,2,1
1.4888,1,1
1.4885,1,1
4.2625,1,1
1.5009,1,1
1.5124,1,1
4.2574,1,1
1.5123,1,1
1.5117,1,1
1.5107,1,1
1.5096,1,1
1.5095,1,1
1.5073,1,1
1.5062,2,1
1.5023,2,1
1.5061,1,1
1.5045,1,1
1.5034,2,1
4.2578,2,1
1.503,1,1
1.5024,1,1
1.6344,1,1
1.6346,1,1
1.8599,1,1
1.6349,1,1
1.7784,2,1
1.7769,1,1
1.7753,1,1
1.7742,1,1
1.7726,1,1
1.7716,1,1
1.7705,1,1
1.77,1,1
1.7685,1,1
1.7663,1,1
1.7619999999999998,1,1
4.1407,1,1
1.761,1,1
4.1418,1,1
1.7602,1,1
1.779,1,1
1.7808,2,1
1.7838,2,1
1.7949,1,1
1.7978,1,1
1.7974,2,1
1.7972,1,1
1.7958,1,1
1.795,1,1
4.1401,1,1
1.7946,1,1
1.7874,1,1
1.7941,1,1
4.1406,1,1
1.7933,2,1
1.7896,1,1
1.7882,1,1
1.7877,1,1
1.7572,2,1
1.7561,1,1
1.756,1,1
1.736,2,1
1.7451,2,1
1.7444,1,1
1.7423,1,1
1.7412,2,1
1.7386,1,1
1.7375,1,1
1.7351,1,1
1.7471,1,1
1.7344,1,1
4.1509,1,1
1.7309,1,1
1.7304,1,1
1.727,2,1
1.7268,1,1
1.7454,1,1
4.1496,1,1
1.7551,2,1
1.7542,1,1
4.1434,1,1
1.755,1,1
4.1435,1,1
4.144,1,1
1.7548,1,1
1.7545,1,1
1.7537,1,1
1.7483,1,1
1.7522,1,1
1.751,1,1
1.7509,1,1
1.75,2,1
4.1458,1,1
1.7492,1,1
1.798,1,1
1.7992,1,1
1.7993,1,1
1.8351,2,1
1.8392,1,1
1.839,1,1
1.8388,1,1
1.8365,1,1
1.8363,1,1
1.8358,1,1
4.1213,1,1
1.8418,0,1
1.8347,1,1
1.8333,1,1
1.8313,1,1
1.8299,1,1
1.829,1,1
1.8274,1,1
1.8406,1,1
4.1205,1,1
1.826,1,1
4.1178,1,1
1.8589,1,1
4.1174,1,1
1.8586,1,1
1.8559,1,1
1.8536,1,1
1.8519,1,1
1.8499,2,1
1.8429,1,1
1.8448,1,1
3.9935,1,1
1.8437,1,1
1.8436,1,1
1.8433,2,1
1.8432,1,1
1.8267,1,1
1.8253,2,1
1.8,1,1
1.8059,1,1
1.8074,1,1
4.132,1,1
4.1343,1,1
1.8072,1,1
1.8068,1,1
1.8064,1,1
1.8055,2,1
1.8095,1,1
1.8049,2,1
1.8037,1,1
1.8032,1,1
1.801,1,1
4.1382,1,1
1.8009,1,1
1.8086,2,1
1.8095,2,1
1.8233,1,1
1.8195,1,1
4.1223,1,1
1.8219,2,1
1.8218,2,1
1.8205,2,1
1.8198,1,1
1.8197,1,1
1.8184,1,1
1.8102,1,1
1.8178,1,1
4.1246,1,1
4.128,1,1
1.812,1,1
1.8111,1,1
4.1281,1,1
1.7266,1,1
1.7252,1,1
4.1511,2,1
1.6576,1,1
1.6605,1,1
1.6599,1,1
1.6594,1,1
4.1912,1,1
1.6589,1,1
1.6578,2,1
1.6573,1,1
1.6626,1,1
1.6568,1,1
1.6566,1,1
1.6565,1,1
1.6554,1,1
1.6545,1,1
1.6544,2,1
1.6623,2,1
1.663,1,1
1.6511,1,1
1.6667,2,1
1.6727,1,1
1.6699,1,1
1.6687,1,1
1.6682,1,1
1.668,1,1
1.6671,1,1
4.1894,1,1
1.6635,1,1
1.6666,1,1
1.6662,1,1
1.6655,1,1
1.6651,1,1
1.664,1,1
1.6639,1,1
1.6527,2,1
1.6506,1,1
4.1855,1,1
1.6391,1,1
4.1984,1,1
1.6402,1,1
1.6401,1,1
1.6398,2,1
1.6397,1,1
1.6395,1,1
1.6387,1,1
1.6409,2,1
1.6363,1,1
1.6362,1,1
1.6361,2,1
1.6361,1,1
4.1985,1,1
4.2028,1,1
4.1971,1,1
1.6415,1,1
1.6504,1,1
1.6476,1,1
1.6501,1,1
1.6495,1,1
4.1916,1,1
4.1954,1,1
1.6484,2,1
1.6481,1,1
1.6464,1,1
1.6441,2,1
4.1963,1,1
1.6458,1,1
1.6451,1,1
1.645,1,1
1.6447,2,1
1.6446,1,1
1.6728,1,1
1.6744,2,1
1.7242,1,1
1.7088,1,1
1.7116,1,1
1.7112,1,1
1.711,1,1
1.7104,1,1
1.7096,1,1
1.7093,1,1
1.7080000000000002,1,1
1.712,1,1
1.7076,1,1
1.7075,1,1
1.7074,1,1
1.707,1,1
1.7054,2,1
1.7051,2,1
1.7116,2,1
4.1645,1,1
1.7029,1,1
1.7184,1,1
1.7241,1,1
1.7235,1,1
1.722,2,1
4.1588,0,1
1.7209,2,1
1.7202,1,1
1.7169,1,1
1.712,2,1
1.7167,1,1
4.1603,1,1
1.7165,1,1
1.7138,1,1
1.7124,1,1
4.1623,1,1
4.1653,1,1
1.7013,1,1
1.6752,1,1
4.1852,1,1
1.6876,1,1
1.6861,1,1
4.1723,1,1
1.6833,1,1
4.1763,1,1
1.6831,2,1
1.683,1,1
1.6885,1,1
1.6801,2,1
1.68,1,1
1.6797,1,1
1.6769,1,1
1.6761,2,1
4.1853,1,1
1.6877,1,1
1.6888,1,1
1.7,2,1
4.1679,1,1
4.1667,1,1
1.6971,1,1
1.6962,1,1
1.6942,1,1
1.693,1,1
1.6927,1,1
1.6918,1,1
